Designator,Mid X,Mid Y,Layer,Rotation
J1,175.37,-72.27,bottom,-90
C1,200,-78.697501,top,-90
C2,196.3,-88.4,top,90
C3,221.955,-81.25,top,180
C4,185.135,-94.7,top,0
C5,210.065,-102.32,top,90
C6,182.5,-88.5,top,90
C7,221.935,-94.75,top,180
C8,170.35,-82.252501,top,90
C9,170.35,-87.252501,top,90
C10,205.65,-84.34,top,180
C11,208.13,-84.36,top,0
D1,182.5,-108,top,-90
D2,173.8175,-77,top,0
D3,173.5,-92,top,0
D4,206.75,-108,top,-90
D5,196.8,-94.3625,top,90
J2,195.53,-98.3625,top,90
J3,202.505,-112.5975,top,0
J4,178.5414,-112.6,top,0
R1,194.22,-108.24,top,180
R2,220.67,-108.87,top,180
R3,189.635,-100.775,top,90
R4,199.5,-85.5,top,180
R5,199.5,-84,top,180
R6,187.135,-93.7,top,-90
R7,183.235,-93.7,top,-90
R8,210.485,-97.57,top,-90
R9,208.422648,-94.495,top,-90
R10,204.422648,-94.495,top,-90
R11,220.155,-79.625,top,-90
R12,217.645,-79.625,top,-90
R13,215.935,-79.65,top,-90
R14,201,-76.265001,top,0
R15,199.5,-87,top,0
R16,176.9925,-77,top,180
R17,177,-92,top,180
R18,188.5,-77.5,top,-90
R19,190,-77.5,top,-90
R20,199.8,-92.3625,top,-90
R21,193.3,-92.8625,top,-90
R22,209.91,-105.85,top,90
R23,203.94,-105.96,top,-90
SW1,191.38,-105.35,top,180
SW2,218,-105.93,top,180
U1,203.53125,-79.677501,top,90
U2,189.5,-84.5,top,180
U3,185.135,-99.1,top,-90
U4,218.135,-88.15,top,-90
U6,206.465,-100.32,top,-90
U7,173.35,-80.645001,top,0
Y1,206.84,-86.73,top,0
